word,ll_score,count
sam,27773.176733971268,4217
woody,16718.80437678033,1911
norm,10618.20987819871,1173
well,9528.710850236082,5676
diane,8403.556821162323,1093
sammy,7920.50646470827,1034
yeah,7446.622676927755,5010
frasier,5951.102294171016,882
cliff,5602.5614685327255,829
know,4810.810740893499,5962
hey,3990.269362949828,2792
right,3986.7758924790587,4462
lilith,3983.3282315972933,460
cheers,3874.4582229442326,621
bar,3580.5841276605233,807
howe,3210.7754729383914,350
everybody,2775.541914450278,1095
coach,2561.580991809292,538
think,2238.6801846962117,2793
huh,2152.0859556147243,1048
little,2089.2411239438693,1883
going,2079.4776247796203,2349
mean,2052.104889680847,1718
guys,1991.2813820077984,1192
beer,1988.9966522310865,514
like,1894.340134510035,3396
vera,1890.3804307037492,267
got,1748.2868193837135,2913
one,1683.8349954597315,2740
say,1659.2029231066444,1838
want,1623.4215863135341,2522
wait,1507.8683833082584,1198
really,1496.6923397079622,1672
knows,1455.3858426331783,652
filmed,1435.2117095698331,186
great,1419.0973656016718,1158
come,1396.7811471798818,2613
would,1366.114059294519,1784
gary,1332.9580136607108,279
good,1310.8970180867636,2260
crane,1310.63888388427,301
get,1293.1811660008752,3324
see,1287.9681170699737,2216
boston,1276.7706406253208,269
listen,1262.501310307751,882
robin,1259.1190336928842,269
guy,1186.6810485015294,1026
time,1170.3681416639624,1800
kelly,1156.3217935987723,324
thank,1123.8546310360393,1248
could,1118.917214735018,1574
tell,1084.9909092696107,1614
something,1073.2746839823662,1471
name,1020.8210515946405,872
chambers,977.0237763433968,157
guess,955.9770476874289,702
troubles,947.7331800252236,179
boy,947.2504646523887,759
back,931.1188293967919,1694
sure,897.4516144384729,1133
audience,879.240526809003,209
thing,872.8110542100078,1114
lot,859.0481065279987,756
look,831.5410090925727,1599
miss,811.9118618254477,661
way,808.5460845917848,1286
minute,804.325731488112,587
studio,801.4126993373263,191
gonna,786.3912935754734,1598
kind,778.4026997440453,739
always,758.3389234724284,776
let,751.1957770531503,1803
never,737.4896046750212,1210
make,730.9371918296074,1221
sorry,710.2266449827621,1080
people,708.5222962651017,1040
life,694.8368656720959,842
norman,694.4100483168285,157
old,683.3587561378428,712
thought,678.7741118644249,842
worries,677.391666088425,136
maybe,667.8876515175448,911
whoa,652.341105728453,343
please,641.6716317213347,1003
excuse,630.2352128317791,517
night,627.1221745643097,853
actually,626.5808223537421,480
woman,620.6525782551405,563
glad,615.0071172023244,346
big,609.0192312132958,728
ever,608.8464189479323,745
two,589.7734693767609,954
give,589.7081173649685,1013
gee,584.3479015887953,194
making,565.8907896915069,377
sox,560.9089554856698,91
love,552.3527027850621,961
drake,551.2125050307963,101
bet,543.8610151968277,325
around,536.1962576061662,727
tonight,533.2952845182324,512
talking,530.9662524546736,570
bye,522.982251840279,326
came,508.33952418226124,537
man,500.83093346605074,1324
wedding,499.73652560349376,243
bartender,497.4379841591207,106
better,497.4321817196975,742
god,495.9188331065227,806
date,478.56760242392755,277
fact,477.848821787716,305
yes,476.2602564812937,1383
stupid,473.7739182284263,314
waitress,472.61529510237983,107
day,460.9648110171098,727
women,457.0871246212433,318
take,451.3342197242598,1310
kidding,449.6621352320899,261
bucks,441.39265826710687,176
ooh,434.1606226683916,218
second,432.84078399489476,379
feel,430.9845691394361,606
break,429.13723425043815,329
mind,426.51464931162377,514
sometimes,424.3155375340514,293
wood,418.35063743412843,129
couple,410.2201885990602,324
believe,408.3531621176162,593
hanover,408.3466115582711,52
thanks,406.6526282607705,591
first,403.5751125339931,717
nice,403.20054190933047,605
problem,398.8225979025617,398
live,398.58911379389156,408
talk,396.4347000487429,721
office,394.5786963063509,303
idea,394.111414687618,416
wanna,394.088397476698,512
last,391.1290760169801,642
contest,390.9591371489931,109
cliffy,390.2983594666852,41
much,387.9692233346268,782
hate,382.5357116212776,307
afternoon,381.2131999852793,200
today,377.3093138233719,458
getting,376.35339154882365,490
world,375.714699503588,471
fun,372.1078139447272,319
bit,357.4156481539103,313
evening,355.31802883699237,220
hear,346.0772153005539,518
fine,345.16512371946794,543
taking,344.70620247322495,312
takes,342.5268586455262,213
every,341.79439640049725,512
place,340.23114207568767,543
hmm,337.4124006372071,199
frederick,329.8892878310098,69
course,329.4857829125823,468
nick,326.52799343709285,152
drinks,324.42949241976675,120
wonderful,323.7832835149362,246
maze,322.1922763646658,55
another,309.89419993871695,471
hair,305.0497100782622,231
postal,301.9960564676556,49
thinking,301.8544072340684,323
pretzels,295.6993565117908,50
bad,293.0479921612979,483
okay,290.82679211140635,1230
trying,288.86413657897606,423
hope,288.4537704526681,343
friends,288.321081914967,333
married,286.79169342594935,287
game,285.0057616874615,283
best,284.35279588311647,394
tavern,282.8979206690303,52
even,282.4149385131584,660
put,280.03450228664065,633
things,279.8244980161859,559
beers,276.5140711162661,72
admit,273.91460148312376,137
sweetheart,273.52489811406315,142
happy,271.36764669766285,343
tab,264.5030069683269,58
marry,259.94362025511117,175
anything,257.46740867398887,659
anyway,256.4136622544111,274
stuff,256.32408873405933,319
help,253.0263745575984,663
forget,252.72428638301358,298
away,252.34278024825062,562
pretty,252.2849046435798,370
call,246.27573355829293,627
job,245.76662993392682,379
silly,245.65574669785414,127
work,245.28748995354783,593
whole,242.93134668972965,361
buy,242.02295657123983,236
everything,241.99055331963177,514
paul,240.95837402892874,160
somebody,240.90928804291673,335
face,240.360757537699,300
sumner,240.16889247464906,42
dinner,239.22487539923583,242
feelings,236.73737470236492,125
hill,235.12011704572447,103
poolroom,234.61582917984293,30
together,234.0375309610389,355
said,233.16552360093408,743
probably,232.67635391130915,291
baseball,232.47726449583544,87
ask,230.06827114542608,411
still,228.1373308760583,576
drink,227.63396850879764,267
joke,227.49538953117977,137
remember,224.44413929633106,441
may,223.4256397407217,423
wrong,222.4941411581243,429
heifer,221.9028002130221,35
home,221.90070925304997,564
babes,218.3328419637109,44
sit,218.22312136884784,303
wow,217.82613251595217,203
self,216.137838376846,67
table,215.75990720631788,161
long,215.1672210707269,507
hoo,214.33588482145706,45
new,211.35767208250968,530
butt,211.11714783086487,98
heck,210.08125450786065,72
poor,209.5903461967493,177
point,208.44172911746654,251
coming,207.78012060367115,422
naked,204.48157518026983,97
funny,201.8959744667324,236
saying,198.88987298557578,281
late,195.97732650773412,266
looking,195.82670934824557,362
sex,194.7038991670347,188
ought,193.87086429903252,133
darned,193.79502137717134,36
room,192.7558228960683,364
relationship,191.716625582691,121
wanted,191.4575931402693,398
might,190.3836905427416,405
customers,190.28079974356993,69
pitcher,190.00507234541794,39
lud,189.79514735953575,23
real,189.732543410642,364
fellas,188.06183313381007,92
moment,187.8016463588388,209
whoo,187.69805095391672,88
years,185.54695770895654,430
vermouth,184.51494018953144,29
left,183.29549945731242,383
pal,182.50988578569812,109
used,181.6341162021463,303
made,181.0762826463323,423
rich,179.97284185461288,128
next,179.24222470970778,363
nothing,178.11157318369555,571
olde,176.52936021488318,21
start,171.717140860494,295
ten,170.82558543546122,173
marriage,170.4808421934696,122
beth,169.52453600609587,60
matter,169.29884654042064,311
sounds,169.09371227726422,180
change,168.64798289948754,234
chance,167.5735795306938,234
anybody,163.31980539692574,223
corvette,162.22881153435617,28
times,161.89875731056958,218
hell,161.02209710214942,361
kids,160.50189464753993,266
mayday,160.38366527792184,41
hours,160.30628926387158,214
heard,160.07446869835655,315
attractive,159.96425698164109,69
finally,159.89730050743407,149
babe,159.80453484369536,81
party,159.71563775798296,225
mailman,157.94641130369166,33
part,157.5053982589369,241
week,155.3257312886966,226
sweet,154.25957350852585,166
jeopardy,154.1165891320185,34
since,153.49224547129705,270
bruins,153.02539541691624,19
stool,152.73997887659863,34
phone,152.22945666898357,243
indiana,152.10128166976028,29
enjoy,151.85726691589838,120
conversation,150.34870262045723,92
happen,148.84598887481218,232
care,148.3154752883102,360
mail,148.10822077177528,79
went,147.4897480993829,320
friend,147.17016624711107,324
person,146.91373713909167,206
wants,145.95790681719853,261
fitz,145.24845987669508,21
weekend,144.69782250467185,100
spend,143.8814768778048,125
book,143.75353845155186,182
sports,143.04214682028595,68
trivia,141.85472768587752,23
darn,141.82981278329936,51
cute,141.62255731690928,120
rest,141.00602910343858,203
serious,140.62069173164141,162
telling,140.326032866869,189
bolts,139.560808461057,28
feeling,138.78634940924553,174
rat,138.40649791876638,72
honey,136.98724574959851,252
hard,136.73976099568335,256
use,136.632612632426,276
geez,136.4641956947463,46
someone,136.3983569731722,331
crazy,135.45156111438064,235
car,134.48654814834936,349
whiskers,133.74325420121772,27
hot,133.55126298675128,185
year,133.32659305169022,237
romantic,132.97252596707995,73
bed,132.91932328825993,183
seen,132.9049069351205,296
lovely,132.7073257558113,122
important,131.95183157491704,195
throw,131.7104641129613,145
ice,131.5918914536572,110
everyone,131.51775964325796,215
buddy,131.39512686636334,127
hello,131.34920935465345,399
news,130.9612579664095,168
try,130.75070774717466,343
mistake,130.5498813898453,126
lucifer,129.67576678020544,25
hold,129.21869924889842,321
enough,128.46329011922916,354
ahead,127.39118809427995,187
word,127.17570079056313,209
worst,126.96544251249509,90
meant,126.67977586965435,126
doc,126.45476438335885,109
else,125.72700035398043,325
yep,125.49757278759134,85
kiss,125.28025948984649,137
stop,124.93153184806403,454
meet,124.83937942284831,273
waitresses,124.75659535951056,24
decided,124.49609972688572,114
drinking,124.26615228919982,86
find,124.22563677012812,513
sitting,124.16641436150485,118
show,124.02742456993155,344
accountant,124.01788768954243,35
pool,123.78241556233412,81
proud,123.6610215153018,110
fair,123.53735531439511,118
money,123.30850185586723,420
forgive,121.26363786573629,104
forgot,121.24418721162266,120
young,121.16619325485999,210
mine,120.35741953020326,214
sleazy,119.69266759610963,25
surprise,119.06918556750188,112
pants,118.45539365057473,89
head,118.4270793041344,279
wine,117.67673696024534,90
psychiatrist,117.44756827316449,43
suppose,116.24849351915802,136
gone,116.01434028737287,237
doris,115.87668543007686,38
took,114.9449319086238,261
along,114.68704638982737,171
win,114.65844836807545,141
trick,113.91890354906006,78
nuts,113.41523973017203,83
called,112.26627137337545,258
snipe,112.13551029206724,16
irs,112.13551029206724,16
damn,111.73471488375355,227
jeanne,111.47957863062857,15
looks,111.30361195993027,242
makes,111.26302255930239,203
lighten,110.93965966014126,32
absolutely,110.46513720961016,125
bora,110.31620982344846,20
terrific,109.60212398361708,72
jokes,108.53109625688282,51
exactly,107.21543332106509,204
raise,106.74135112553088,82
councillor,106.68494898958622,18
mood,106.48772379410504,64
least,106.27550922192742,181
corporation,105.47172275007844,34
afraid,105.15330169204606,203
